date,title,detail_url,pdf_url,pdf_filename,local_path
"Aug 12, 2025",Annual Report 2024-25,https://www.sebi.gov.in/reports-and-statistics/publications/aug-2025/annual-report-2024-25_96014.html,https://www.sebi.gov.in/sebi_data/attachdocs/aug-2025/1754995497778.pdf,1754995497778.pdf,pdfs\Annual_Report_2024-25\1754995497778.pdf
"Aug 09, 2024",Annual Report 2023-24,https://www.sebi.gov.in/reports-and-statistics/publications/aug-2024/annual-report-2022-23_74990.html,https://www.sebi.gov.in/sebi_data/attachdocs/aug-2024/Annual Report 2023-24.pdf,Annual Report 2023-24.pdf,pdfs\Annual_Report_2023-24\Annual Report 2023-24.pdf
"Aug 07, 2023",Annual Report 2022-23,https://www.sebi.gov.in/reports-and-statistics/publications/aug-2023/annual-report-2022-23_74990.html,https://www.sebi.gov.in/sebi_data/attachdocs/aug-2023/1691397596636.pdf,1691397596636.pdf,pdfs\Annual_Report_2022-23\1691397596636.pdf
"Oct 10, 2022",Annual Report 2021-22,https://www.sebi.gov.in/reports-and-statistics/publications/oct-2022/annual-report-2021-22_63812.html,https://www.sebi.gov.in/sebi_data/attachdocs/nov-2022/1669281149293.pdf,1669281149293.pdf,pdfs\Annual_Report_2021-22\1669281149293.pdf
"Aug 04, 2021",Annual Report 2020-21,https://www.sebi.gov.in/reports-and-statistics/publications/aug-2021/annual-report-2020-21_51610.html,https://www.sebi.gov.in/sebi_data/attachdocs/aug-2021/1628155029459.pdf,1628155029459.pdf,pdfs\Annual_Report_2020-21\1628155029459.pdf
"Feb 10, 2021",Annual Report 2019-20,https://www.sebi.gov.in/reports-and-statistics/publications/feb-2021/annual-report-2019-20_49071.html,https://www.sebi.gov.in/sebi_data/attachdocs/feb-2021/1612940539512.pdf,1612940539512.pdf,pdfs\Annual_Report_2019-20\1612940539512.pdf
"Jul 24, 2019",Annual Report 2018-19,https://www.sebi.gov.in/reports-and-statistics/publications/jul-2019/annual-report-2018-19_43670.html,https://www.sebi.gov.in/sebi_data/attachdocs/jul-2019/1564030786797.pdf,1564030786797.pdf,pdfs\Annual_Report_2018-19\1564030786797.pdf
"Aug 08, 2018",Annual Report 2017-18,https://www.sebi.gov.in/reports-and-statistics/publications/aug-2018/annual-report-2017-18_39868.html,https://www.sebi.gov.in/sebi_data/attachdocs/aug-2018/1533718016393.pdf,1533718016393.pdf,pdfs\Annual_Report_2017-18\1533718016393.pdf
"Aug 14, 2017",Annual Report 2016-17,https://www.sebi.gov.in/reports/annual-reports/aug-2017/annual-report-2016-17_35618.html,https://www.sebi.gov.in/sebi_data/attachdocs/oct-2017/1509355227171.pdf,1509355227171.pdf,pdfs\Annual_Report_2016-17\1509355227171.pdf
"Aug 19, 2016",Annual Report 2015-16,https://www.sebi.gov.in/reports/annual-reports/aug-2016/annual-report-2015-16_33014.html,https://www.sebi.gov.in/sebi_data/attachdocs/1471609638850.pdf,1471609638850.pdf,pdfs\Annual_Report_2015-16\1471609638850.pdf
