category,date,title,pdf_url,pdf_filename,local_path
Master Circulars,"Aug 13, 2025",Master Circular for Debenture Trustees (DTs),https://www.sebi.gov.in/sebi_data/attachdocs/aug-2025/1755087354414.pdf,1755087354414.pdf,pdfs\Master_Circular_for_Debenture_Trustees_(DTs)\1755087354414.pdf
Master Circulars,"Jul 16, 2025",Master Circular for Portfolio Managers,https://www.sebi.gov.in/sebi_data/attachdocs/jul-2025/1752664428748.pdf,1752664428748.pdf,pdfs\Master_Circular_for_Portfolio_Managers\1752664428748.pdf
Master Circulars,"Jul 11, 2025",Master Circular for Infrastructure Investment Trusts (InvITs),https://www.sebi.gov.in/sebi_data/attachdocs/jul-2025/1752576381910.pdf,1752576381910.pdf,pdfs\Master_Circular_for_Infrastructure_Investment_Trusts_(InvITs)\1752576381910.pdf
Master Circulars,"Jul 11, 2025",Master Circular for Real Estate Investment Trusts (REITs),https://www.sebi.gov.in/sebi_data/attachdocs/jul-2025/1752236189221.pdf,1752236189221.pdf,pdfs\Master_Circular_for_Real_Estate_Investment_Trusts_(REITs)\1752236189221.pdf
Master Circulars,"Jul 11, 2025","Master Circular for listing obligations and disclosure requirements for Non-convertible Securities, Securitized Debt Instruments and/ or Commercial Paper",https://www.sebi.gov.in/sebi_data/attachdocs/jul-2025/1752233667904.pdf,1752233667904.pdf,"pdfs\Master_Circular_for_listing_obligations_and_disclosure_requirements_for_Non-convertible_Securities,_\1752233667904.pdf"
Master Circulars,"Jul 11, 2025",Master Circular for Credit Rating Agencies (CRAs),https://www.sebi.gov.in/sebi_data/attachdocs/jul-2025/1752231798161.pdf,1752231798161.pdf,pdfs\Master_Circular_for_Credit_Rating_Agencies_(CRAs)\1752231798161.pdf
Master Circulars,"Jul 11, 2025",Master Circular for ESG Rating Providers (ERPs),https://www.sebi.gov.in/sebi_data/attachdocs/jul-2025/1752231702474.pdf,1752231702474.pdf,pdfs\Master_Circular_for_ESG_Rating_Providers_(ERPs)\1752231702474.pdf
Master Circulars,"Jun 27, 2025",Master Circular for Research Analysts,https://www.sebi.gov.in/sebi_data/attachdocs/jun-2025/1751025804218.pdf,1751025804218.pdf,pdfs\Master_Circular_for_Research_Analysts\1751025804218.pdf
Master Circulars,"Jun 27, 2025",Master Circular for Investment Advisers,https://www.sebi.gov.in/sebi_data/attachdocs/jun-2025/1751022988074.pdf,1751022988074.pdf,pdfs\Master_Circular_for_Investment_Advisers\1751022988074.pdf
Master Circulars,"Jun 23, 2025",Master Circular for Registrars to an Issue and Share Transfer Agents,https://www.sebi.gov.in/sebi_data/attachdocs/jun-2025/1750678372996.pdf,1750678372996.pdf,pdfs\Master_Circular_for_Registrars_to_an_Issue_and_Share_Transfer_Agents\1750678372996.pdf
Master Circulars,"Jun 17, 2025",Master Circular for Stock Brokers,https://www.sebi.gov.in/sebi_data/attachdocs/jun-2025/1750158789381.pdf,1750158789381.pdf,pdfs\Master_Circular_for_Stock_Brokers\1750158789381.pdf
Master Circulars,"Dec 30, 2024",Master Circular for Stock Exchanges and Clearing Corporations,https://www.sebi.gov.in/sebi_data/attachdocs/jan-2025/1736760771912.pdf,1736760771912.pdf,pdfs\Master_Circular_for_Stock_Exchanges_and_Clearing_Corporations\1736760771912.pdf
Master Circulars,"Dec 03, 2024",Master Circular for Depositories,https://www.sebi.gov.in/sebi_data/attachdocs/dec-2024/1733233982158.pdf,1733233982158.pdf,pdfs\Master_Circular_for_Depositories\1733233982158.pdf
Master Circulars,"Nov 11, 2024",Master Circular for Issue of Capital and Disclosure Requirements,https://www.sebi.gov.in/sebi_data/attachdocs/nov-2024/1731410160186.pdf,1731410160186.pdf,pdfs\Master_Circular_for_Issue_of_Capital_and_Disclosure_Requirements\1731410160186.pdf
Master Circulars,"Nov 11, 2024","Master circular for compliance with the provisions of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015 by listed entities",https://www.sebi.gov.in/sebi_data/attachdocs/nov-2024/1731408456573.pdf,1731408456573.pdf,pdfs\Master_circular_for_compliance_with_the_provisions_of_the_Securities_and_Exchange_Board_of_India_(Li\1731408456573.pdf
Master Circulars,"Sep 23, 2024",Master Circular on Surveillance of Securities Market,https://www.sebi.gov.in/sebi_data/attachdocs/sep-2024/1727094551693.pdf,1727094551693.pdf,pdfs\Master_Circular_on_Surveillance_of_Securities_Market\1727094551693.pdf
Master Circulars,"Aug 09, 2024",Master Circular for Stock Brokers,https://www.sebi.gov.in/sebi_data/attachdocs/aug-2024/1723438086672.pdf,1723438086672.pdf,pdfs\Master_Circular_for_Stock_Brokers\1723438086672.pdf
Master Circulars,"Jul 09, 2024",Master Circular on Surveillance of Securities Market,https://www.sebi.gov.in/sebi_data/attachdocs/jul-2024/1720528330792.pdf,1720528330792.pdf,pdfs\Master_Circular_on_Surveillance_of_Securities_Market\1720528330792.pdf
Master Circulars,"Jun 27, 2024",Master Circular for Mutual Funds,https://www.sebi.gov.in/sebi_data/attachdocs/jun-2024/1719488538007.pdf,1719488538007.pdf,pdfs\Master_Circular_for_Mutual_Funds\1719488538007.pdf
Master Circulars,"Jun 24, 2024",Master Circular for Electronic Gold Receipts (EGRs),https://www.sebi.gov.in/sebi_data/attachdocs/jun-2024/1719227438473.pdf,1719227438473.pdf,pdfs\Master_Circular_for_Electronic_Gold_Receipts_(EGRs)\1719227438473.pdf
Master Circulars,"Jun 07, 2024",Master Circular for Portfolio Managers,https://www.sebi.gov.in/sebi_data/attachdocs/jun-2024/1717762752754.pdf,1717762752754.pdf,pdfs\Master_Circular_for_Portfolio_Managers\1717762752754.pdf
